tokens,tokens_limpos,stems,lemmas,texto_para_sentimento
"['a', 'gente', 'não', 'era', 'contra', 'a', 'adultização', 'dos', 'jovens', 'pessoal']","['gente', 'contra', 'adultização', 'jovens', 'pessoal']","['gent', 'contr', 'adult', 'jov', 'pessoal']","['gente', 'contra', 'adultização', 'jovens', 'pessoal']",
"['felca', 'virou', 'presidente', 'agora', 'o', 'povo', 'querendo', 'que', 'ele', 'seja', 'um', 'deus', 'do', 'poder', 'executivo', 'legislativo', 'e', 'judiciário']","['felca', 'virou', 'presidente', 'agora', 'povo', 'querendo', 'deus', 'poder', 'executivo', 'legislativo', 'judiciário']","['felc', 'vir', 'presid', 'agor', 'pov', 'quer', 'deu', 'pod', 'execu', 'legisl', 'judici']","['felca', 'virou', 'presidente', 'agora', 'povo', 'querendo', 'deus', 'poder', 'executivo', 'legislativo', 'judiciário']",
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",
"['e', 'pode', 'deixar', 'anotado', 'q', 'se', 'o', 'felca', 'continuar', 'falando', 'sobre', 'esse', 'tipo', 'de', 'assunto', 'jaja', 'ele', 'perde', 'toda', 'relevância']","['pode', 'deixar', 'anotado', 'q', 'felca', 'continuar', 'falando', 'sobre', 'tipo', 'assunto', 'jaja', 'perde', 'toda', 'relevância']","['pod', 'deix', 'anot', 'q', 'felc', 'continu', 'fal', 'sobr', 'tip', 'assunt', 'jaj', 'perd', 'tod', 'relev']","['pode', 'deixar', 'anotado', 'q', 'felca', 'continuar', 'falando', 'sobre', 'tipo', 'assunto', 'jaja', 'perde', 'toda', 'relevância']",
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",
"['toda', 'vez', 'q', 'o', 'twitter', 'idealiza', 'alguém', 'lá', 'na', 'frente', 'quebra', 'a', 'cara', 'o', 'felca', 'não', 'vai', 'fugir', 'a', 'regra']","['toda', 'vez', 'q', 'twitter', 'idealiza', 'alguém', 'lá', 'frente', 'quebra', 'cara', 'felca', 'vai', 'fugir', 'regra']","['tod', 'vez', 'q', 'twitt', 'idealiz', 'alguém', 'lá', 'frent', 'quebr', 'car', 'felc', 'vai', 'fug', 'regr']","['toda', 'vez', 'q', 'twitter', 'idealiza', 'alguém', 'lá', 'frente', 'quebra', 'cara', 'felca', 'vai', 'fugir', 'regra']",
"['tua', 'interpretação', 'é', 'um', 'lixo', 'msm', 'a', 'adultizacao', 'tá', 'quando', 'adultos', 'estão', 'debatendo', 'na', 'internet', 'se', 'uma', 'criança', 'gosta', 'de', 'homem', 'ou', 'mulher', 'sendo', 'que', 'é', 'uma', 'criança', 'mds', 'qual', 'a', 'dificuldade', 'de', 'entender', 'o', 'básico']","['interpretação', 'lixo', 'msm', 'adultizacao', 'tá', 'adultos', 'debatendo', 'internet', 'criança', 'gosta', 'homem', 'mulher', 'sendo', 'criança', 'mds', 'dificuldade', 'entender', 'básico']","['interpret', 'lix', 'msm', 'adultizaca', 'tá', 'adult', 'debat', 'internet', 'crianç', 'gost', 'hom', 'mulh', 'send', 'crianç', 'md', 'dificuldad', 'entend', 'básic']","['interpretação', 'lixo', 'msm', 'adultizacao', 'tá', 'adultos', 'debatendo', 'internet', 'criança', 'gosta', 'homem', 'mulher', 'sendo', 'criança', 'md', 'dificuldade', 'entender', 'básico']",
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",
"['na', 'surdina', 'enquanto', 'todo', 'mundo', 'se', 'ocupava', 'com', 'os', 'áudios', 'de', 'bolsonaro', 'e', 'malafaia', 'a', 'câmara', 'aprovou', 'o', 'projeto', 'contra', 'a']","['surdina', 'enquanto', 'todo', 'mundo', 'ocupava', 'áudios', 'bolsonaro', 'malafaia', 'câmara', 'aprovou', 'projeto', 'contra']","['surdin', 'enquant', 'tod', 'mund', 'ocup', 'áudi', 'bolsonar', 'malafa', 'câm', 'aprov', 'projet', 'contr']","['surdina', 'enquanto', 'todo', 'mundo', 'ocupava', 'áudios', 'bolsonaro', 'malafaia', 'câmara', 'aprovou', 'projeto', 'contra']",
"['gravíssimo', 'o', 'mesmo', 'pt', 'que', 'diz', 'combater', 'a', 'adultização', 'é', 'o', 'pt', 'que', 'oferece', 'anticoncepcional', 'subdérmico', 'para', 'meninas', 'de']","['gravíssimo', 'pt', 'diz', 'combater', 'adultização', 'pt', 'oferece', 'anticoncepcional', 'subdérmico', 'meninas']","['grav', 'pt', 'diz', 'combat', 'adult', 'pt', 'oferec', 'anticoncepc', 'subdérm', 'menin']","['gravíssimo', 'pt', 'diz', 'combater', 'adultização', 'pt', 'oferece', 'anticoncepcional', 'subdérmico', 'meninas']",
